2026-01-10 08:00:00;67;7;4;2;13,57,69,63,66,68,67
2026-01-10 08:05:00;26;7;1;5;50,25,37,31,28,27,26
2026-01-10 08:10:00;40;5;2;2;10,55,32,43,40
2026-01-10 08:15:00;15;8;3;4;50,25,12,13,19,16,14,15
2026-01-10 08:20:00;81;7;4;2;50,75,76,95,85,78,81
2026-01-10 08:25:00;29;7;3;3;50,3,26,38,31,28,29
2026-01-10 08:30:00;22;5;1;3;37,18,31,24,22
2026-01-10 08:35:00;44;6;3;2;50,25,45,26,38,44
2026-01-10 08:40:00;93;4;3;0;50,75,88,93
2026-01-10 08:45:00;15;5;1;3;50,25,12,18,15
2026-01-10 08:50:00;91;8;5;2;50,75,98,86,92,89,90,91
2026-01-10 08:55:00;34;7;3;3;50,7,28,39,33,36,34
2026-01-10 09:00:00;68;4;2;1;50,75,62,68
2026-01-10 09:05:00;66;9;6;2;35,68,43,55,58,63,65,67,66
2026-01-10 09:10:00;33;8;4;3;50,25,37,26,31,34,32,33
2026-01-10 09:15:00;85;8;5;2;50,75,88,81,83,84,86,85
2026-01-10 09:20:00;99;4;3;0;50,95,97,99
2026-01-10 09:25:00;56;7;3;3;50,80,65,57,53,55,56
2026-01-10 09:30:00;47;7;5;1;50,25,37,39,41,45,47
2026-01-10 09:35:00;41;5;2;2;50,25,47,36,41
2026-01-10 09:40:00;18;4;1;2;50,25,12,18
2026-01-10 09:45:00;83;7;4;2;50,75,88,81,84,82,83
2026-01-10 09:50:00;67;7;3;3;28,64,82,73,68,66,67
2026-01-10 09:55:00;78;5;2;2;50,75,88,81,78
2026-01-10 10:00:00;16;7;2;4;50,25,12,18,15,17,16
2026-01-10 10:05:00;53;5;1;3;50,75,62,56,53
2026-01-10 10:10:00;20;7;3;3;50,3,26,14,18,22,20
2026-01-10 10:15:00;48;6;4;1;50,25,37,43,46,48
2026-01-10 10:20:00;86;7;3;3;50,97,73,85,91,88,86
2026-01-10 10:25:00;89;6;3;2;50,75,88,94,90,89
2026-01-10 10:30:00;2;7;1;5;50,25,12,6,3,1,2
2026-01-10 10:35:00;76;6;3;2;35,68,90,79,73,76
2026-01-10 10:40:00;22;6;3;2;50,25,12,18,21,22
2026-01-10 10:45:00;85;5;3;1;50,75,88,82,85
2026-01-10 10:50:00;16;7;1;5;65,61,40,26,13,19,16
2026-01-10 10:55:00;62;7;3;3;50,75,69,59,64,61,62
2026-01-10 11:00:00;66;6;3;2;50,75,62,68,65,66
2026-01-10 11:05:00;70;7;4;2;50,75,62,68,71,69,70
2026-01-10 11:10:00;5;8;2;5;50,25,14,7,6,3,4,5
2026-01-10 11:15:00;72;6;3;2;50,60,80,70,75,72
2026-01-10 11:20:00;51;6;1;4;50,75,62,56,53,51
2026-01-10 11:25:00;51;4;1;2;50,56,53,51
2026-01-10 11:30:00;92;7;5;1;50,69,81,82,91,94,92
2026-01-10 11:35:00;83;7;4;2;50,75,88,85,80,82,83
2026-01-10 11:40:00;66;6;2;3;54,77,65,71,68,66
2026-01-10 11:45:00;89;6;3;2;50,75,88,94,91,89
2026-01-10 11:50:00;82;8;4;3;50,90,70,80,87,83,81,82
2026-01-10 11:55:00;45;5;3;1;50,14,32,41,45
2026-01-10 12:00:00;92;6;4;1;50,93,71,82,87,92
2026-01-10 12:05:00;14;7;2;4;50,25,12,19,15,13,14
2026-01-10 12:10:00;75;8;5;2;16,58,79,68,73,76,74,75
2026-01-10 12:15:00;49;8;6;1;50,25,32,41,45,47,48,49
2026-01-10 12:20:00;24;6;3;2;50,25,12,22,23,24
2026-01-10 12:25:00;79;5;2;2;50,75,88,83,79
2026-01-10 12:30:00;46;5;3;1;50,25,37,43,46
2026-01-10 12:35:00;15;7;2;4;11,56,33,22,16,13,15
2026-01-10 12:40:00;78;5;2;2;50,75,88,81,78
2026-01-10 12:45:00;29;3;1;1;50,25,29
2026-01-10 12:50:00;93;7;5;1;50,75,88,94,91,92,93
2026-01-10 12:55:00;12;3;0;2;50,25,12
2026-01-10 13:00:00;95;7;5;1;30,65,83,92,96,94,95
2026-01-10 13:05:00;27;7;2;4;50,25,37,31,28,26,27
2026-01-10 13:10:00;18;4;1;2;50,25,12,18
2026-01-10 13:15:00;90;7;5;1;45,93,53,73,83,88,90
2026-01-10 13:20:00;5;7;2;4;50,25,12,2,7,4,5
2026-01-10 13:25:00;8;3;0;2;25,16,8
2026-01-10 13:30:00;43;7;4;2;51,25,38,44,41,42,43
2026-01-10 13:35:00;4;8;2;5;50,25,12,10,5,2,3,4
2026-01-10 13:40:00;62;5;3;1;50,53,65,59,62
2026-01-10 13:45:00;10;8;3;4;50,25,22,11,5,8,9,10
2026-01-10 13:50:00;98;6;5;0;50,75,88,94,96,98
2026-01-10 13:55:00;71;7;3;3;37,69,85,77,73,70,71
2026-01-10 14:00:00;4;6;1;4;50,25,12,6,3,4
2026-01-10 14:05:00;63;4;2;1;50,54,72,63
2026-01-10 14:10:00;70;7;3;3;50,75,62,68,73,72,70
2026-01-10 14:15:00;21;4;1;2;50,25,12,21
2026-01-10 14:20:00;97;5;4;0;37,69,85,93,97
2026-01-10 14:25:00;1;5;0;4;50,25,12,6,1
2026-01-10 14:30:00;62;3;1;1;50,75,62
2026-01-10 14:35:00;54;5;1;3;50,75,66,58,54
2026-01-10 14:40:00;3;5;0;4;50,25,12,6,3
2026-01-10 14:45:00;9;7;2;4;50,6,28,17,11,8,9
2026-01-10 14:50:00;67;5;2;2;50,75,62,68,67
2026-01-10 14:55:00;76;8;2;5;50,75,88,81,80,79,77,76
2026-01-10 15:00:00;4;7;1;5;50,35,17,7,3,5,4
2026-01-10 15:05:00;72;7;4;2;50,75,62,68,71,73,72
2026-01-10 15:10:00;18;4;1;2;50,25,12,18
2026-01-10 15:15:00;4;6;1;4;42,21,13,6,3,4
2026-01-10 15:20:00;32;6;2;3;50,25,37,31,34,32
2026-01-10 15:25:00;78;5;2;2;50,75,88,81,78
2026-01-10 15:30:00;24;7;4;2;50,25,8,16,20,23,24
2026-01-10 15:35:00;28;7;2;4;50,36,18,27,31,30,28
2026-01-10 15:40:00;43;4;2;1;50,25,37,43
2026-01-10 15:45:00;25;4;1;2;50,34,17,25
2026-01-10 15:50:00;9;6;3;2;50,10,5,7,8,9
2026-01-10 15:55:00;45;5;3;1;50,25,33,41,45
2026-01-10 16:00:00;42;9;5;3;50,25,27,38,48,43,40,41,42
2026-01-10 16:05:00;37;8;3;4;5,53,29,46,43,36,39,37
2026-01-10 16:10:00;10;5;1;3;50,25,12,6,10
